Ciudad,Fecha y fuente,País,Población según Citypopulation (2015),Población según Citypopulation (2016),Población según Citypopulation[1]​,Población según Demographia (2015),Población según Demographia[2]​,Población según ONU (2015),Población según ONU[3]​,Población según último censo,Población según último censo oficial,Posición
Yogyakarta,2010,Indonesia,1.270.000,,,1.831.000,,385.000,,388.627 [n 1]​,,22
Chonburi,2010,Tailandia,1.230.000,,,665.000,,518.000,,321.149 [n 1]​,,23
Surakarta,2010,Indonesia,1.210.000,,,1.318.000,,504.000,,499.337 [n 1]​,,24
Batam,2010,Indonesia,1.160.000,,,1.142.000,,1.391.000,,917.998,,25
Pekanbaru,2010,Indonesia,1.160.000,,,1.100.000,,1.121.000,,882.045,,26
Serang,2010,Indonesia,1.090.000,,,564.000,,---,,428.484 [n 1]​,,27
Bandar Lampung,2010,Indonesia,1.080.000,,,909.000,,965.000,,873.007,,28
Ángeles,2010,Filipinas,1.060.000,,,883.000,,363.000,,326.336 [n 1]​,,29
Can Tho,2009,Vietnam,---,,,769.000,,1.175.000,,731.545,,30
Hai Phong,2009,Vietnam,---,,,983.000,,1.075.000,,769.736,,31
Naipyidó,2014,Birmania,---,,,1.030.000,,1.030.000,,333.506,,32
General Santos,2010,Filipinas,---,,,1.579.000,,---,,444.116 [n 1]​,,33
Cirebon,2010,Indonesia,---,,,1.143.000,,---,,296.389 [n 1]​,,34
Vientián,2005,Laos,---,,,975.000,,997.000,,569.729,,35
Londres,2011.0,Reino Unido,14.300.000,,,10.236.000,,10.313.000,,11.140.445,,1
París,1999.0,Francia,11.200.000,,,10.858.000,,10.843.000,,9.738.809,,2
Madrid,2011.0,España,6.400.000,,,6.171.000,,6.199.000,,3.198.645 [n 1]​,,3
Región del Ruhr [n 7]​,,Alemania,5.600.000,,,---,,---,,,,4
Milán,2011.0,Italia,5.150.000,,,5.257.000,,3.099.000,,1.242.123 [n 1]​,,5
Colonia - Düsseldorf,2011.0,Alemania,4.825.000,,,8.783.000 [n 3]​,,1.640.000 [n 2]​,,1.591.866 [n 4]​,,6
Barcelona,2011.0,España,4.700.000,,,4.693.000,,5.258.000,,1.611.013 [n 1]​,,7
Berlín,2011.0,Alemania,4.450.000,,,4.069.000,,3.563.000,,3.292.365 [n 1]​,,8
Nápoles,2011.0,Italia,4.225.000,,,3.706.000,,2.202.000,,962.003 [n 1]​,,9
Atenas,2011.0,Grecia,3.600.000,,,3.484.000,,3.052.000,,3.168.846,,10
Roma,2011.0,Italia,3.550.000,,,3.906.000,,3.718.000,,2.617.175 [n 1]​,,11
Birmingham,2011.0,Reino Unido,3.100.000,,,2.512.000,,2.515.000,,2.697.168,,12
Róterdam,2001.0,Países Bajos,3.100.000,,,2.660.000,,993.000,,608.422 [n 1]​,,13
Fráncfort del Meno,2011.0,Alemania,3.100.000,,,1.915.000,,715.000,,667.925 [n 1]​,,14
Mánchester,2011.0,Reino Unido,3.000.000,,,2.639.000,,2.646.000,,2.637.335,,15
Hamburgo,2011.0,Alemania,2.750.000,,,2.087.000,,1.831.000,,1.706.696 [n 1]​,,16
Lisboa,2001.0,Portugal,2.600.000,,,2.666.000,,2.884.000,,564.657 [n 1]​,,17
Ámsterdam,2001.0,Países Bajos,2.375.000,,,1.624.000,,1.091.000,,734.533 [n 1]​,,18
Stuttgart,2011.0,Alemania,2.300.000,,,1.379.000,,626.000,,585.890 [n 1]​,,19
Múnich,2011.0,Alemania,2.175.000,,,1.981.000,,1.438.000,,1.348.335 [n 1]​,,20
Viena,2011.0,Austria,2.125.000,,,1.763.000,,1.753.000,,2.015.580,,21
Leeds,2011.0,Reino Unido,2.125.000,,,1.893.000,,1.912.000,,2.058.861,,22
Estocolmo,,Suecia,2.075.000,,,1.484.000,,1.486.000,,,,23
Bruselas,,Bélgica,2.000.000,,,2.089.000,,2.045.000,,,,24
Lyon,1999.0,Francia,1.920.000,,,1.583.000,,1.609.000,,1.428.998,,25
Liverpool,2011.0,Reino Unido,1.830.000,,,875.000,,870.000,,1.367.147,,26
Valencia,2011.0,España,1.780.000,,,1.561.000,,810.000,,792.054 [n 1]​,,27
Turín,2011.0,Italia,1.670.000,,,1.521.000,,1.765.000,,872.367 [n 1]​,,28
Marsella,1999.0,Francia,1.640.000,,,1.397.000,,1.605.000,,1.463.016,,29
Glasgow,2011.0,Reino Unido,1.610.000,,,1.220.000,,1.223.000,,1.601.154,,30
Copenhague,,Dinamarca,1.600.000,,,1.248.000,,1.268.000,,,,31
Sheffield,2011.0,Reino Unido,1.530.000,,,706.000,,706.000,,795.844,,32
Mannheim,2011.0,Alemania,1.520.000,,,559.000,,319.000,,290.117 [n 1]​,,33
Newcastle upon Tyne,2011.0,Reino Unido,1.460.000,,,793.000,,791.000,,1.220.781,,34
Zúrich,2010.0,Suiza,1.350.000,,,785.000,,1.246.000,,1.249.750,,35
Nottingham,2011.0,Reino Unido,1.350.000,,,755.000,,755.000,,754.789,,36
Sevilla,2011.0,España,1.340.000,,,1.107.000,,701.000,,698.042,,37
Dublín,2011.0,Irlanda,1.320.000,,,1.160.000,,1.169.000,,1.110.627,,38
Lille,1999.0,Francia,1.270.000,,,1.018.000,,1.027.000,,999.797,,39
Helsinki,2000.0,Finlandia,1.220.000,,,1.208.000,,1.180.000,,1.027.305,,40
Oporto,2001.0,Portugal,1.190.000,,,1.474.000,,1.299.000,,263.131 [n 1]​,,41
Núremberg,2011.0,Alemania,1.160.000,,,670.000,,517.000,,486.314 [n 1]​,,42
Oslo,1990.0,Noruega,1.130.000,,,975.000,,986.000,,685.530,,43
Southampton,2011.0,Reino Unido,1.130.000,,,883.000,,882.000,,1.060.326,,44
Hannover,2011.0,Alemania,1.120.000,,,711.000,,533.000,,506.416 [n 1]​,,45
Amberes,,Bélgica,1.020.000,,,1.008.000,,994.000,,,,46
Málaga,2011.0,España,1.010.000,,,716.000,,574.000,,561.435,,47
Niza - Cannes,1999.0,Francia,---,,,978.000,,967.000,,889.163,,48
Toulouse,1999.0,Francia,---,,,922.000,,938.000,,761.963,,49
Moscú,2010,Rusia,16.800.000,,,16.170.000,,12.166.000,,11.612.885,,1
Estambul [n 8]​,2000,Turquía,14.200.000,,,13.287.000,,14.164.000,,8.803.468,,2
San Petersburgo,2010,Rusia,5.400.000,,,5.126.000,,4.993.000,,4.879.566,,3
Kiev,2001,Ucrania,3.375.000,,,2.241.000,,2.942.000,,2.611.327,,4
Budapest,2011,Hungría,2.550.000,,,1.710.000,,1.714.000,,1.729.040,,5
Katowice,2011,Polonia,2.400.000,,,2.190.000,,303.000,,310.764 [n 1]​,,6
Varsovia,2011,Polonia,2.275.000,,,1.720.000,,1.722.000,,1.700.612 [n 1]​,,7
Bucarest,2011,Rumania,2.175.000,,,1.860.000,,1.868.000,,1.883.425,,8
Minsk,2009,Bielorrusia,1.950.000,,,1.910.000,,1.915.000,,1.836.808,,9
Nizni Nóvgorod,2010,Rusia,1.750.000,,,1.201.000,,1.212.000,,1.250.619,,10
Járkov,2001,Ucrania,1.650.000,,,1.440.000,,1.441.000,,1.470.902,,11
Donetsk,2001,Ucrania,1.480.000,,,930.000,,934.000,,1.016.194,,12
Praga,2001,República Checa,1.460.000,,,1.310.000,,1.314.000,,1.169.106,,13
Volgogrado,2010,Rusia,1.410.000,,,999.000,,1.022.000,,1.021.215,,14
Belgrado,2011,Serbia,1.400.000,,,1.180.000,,1.182.000,,1.166.763,,15
Dnipropetrovsk,2001,Ucrania,1.390.000,,,950.000,,957.000,,1.065.008,,16
Sofía,2011,Bulgaria,1.320.000,,,1.195.000,,1.226.000,,1.202.761,,17
Samara,2010,Rusia,1.320.000,,,1.162.000,,1.164.000,,1.164.685,,18
Rostov del Don,2010,Rusia,1.280.000,,,1.090.000,,1.097.000,,1.089.261,,19
Kazán,2010,Rusia,1.210.000,,,1.160.000,,1.162.000,,1.143.535,,20
Ufá,2010,Rusia,1.110.000,,,1.024.000,,1.070.000,,1.062.319,,21
Odesa,2001,Ucrania,1.110.000,,,1.010.000,,1.010.000,,1.029.049,,22
Perm,2010,Rusia,1.100.000,,,974.000,,982.000,,991.162,,23
Sarátov,2010,Rusia,1.090.000,,,772.000,,815.000,,837.900,,24
Vorónezh,2010,Rusia,1.030.000,,,897.000,,911.000,,975.373,,25
Sídney,2011,Australia,4.850.000,,,4.036.000,,4.505.000,,4.028.525,,1
Melbourne,2011,Australia,4.350.000,,,3.906.000,,4.203.000,,3.847.567,,2
Brisbane,2011,Australia,2.875.000,,,1.999.000,,2.202.000,,1.977.316,,3
Perth,2011,Australia,2.025.000,,,1.751.000,,1.861.000,,1.670.952,,4
Auckland,2013,Nueva Zelanda,1.404.000,,,1.356.000,,1.344.000,,1.308.831,,5
Adelaida,2011,Australia,1.290.000,,,1.140.000,,1.256.000,,1.198.467,,6
Honolulu[n 9]​,2010,Estados Unidos,1.000.000,,,842.000,,848.000,,953.207,,7
Ciudad de México,2010,México,,22.300.000,,22.063.000,,22.452.000,,20.555.272,,1
Nueva York,2010,Estados Unidos,,22.200.000,,20.630.000,,21.900.000,,19.556.440,,2
São Paulo,2010,Brasil,,21.900.000,,20.365.000,,21.600.000,,19.683.975,,3
Los Ángeles (incluyendo Riverside y San Bernardino),2010,Estados Unidos,,17.600.000,,15.058.000,,14.504.000,,17.053.905,,4
Buenos Aires,2010,Argentina,,15.800.000,,14.122.000,,15.180.000,,13.588.171,,5
Río de Janeiro,2010,Brasil,,12.700.000,,11.727.000,,12.902.000,,11.835.708,,6
Lima,2007,Perú,,10.300.000,,10.500.000,,10.600.000,,8.324.510,,7
Chicago,2010,Estados Unidos,,9.800.000,,9.156.000,,8.745.000,,9.461.537,,8
Bogotá (incl. Chía - Soacha - Mosquera - La Calera - Funza - Madrid),2005,Colombia,,9.550.000,,8.950.000,,8.197.000,,6.472.935,,9
Washington D. C. (incluyendo Baltimore),2010,Estados Unidos,,8.350.000,,7.152.000,,7.222.000,,8.347.003,,10
San Francisco (incluyendo San José),2010,Estados Unidos,,7.600.000,,5.929.000,,5.030.000,,6.172.501,,11
Boston (incluyendo Providence),2010,Estados Unidos,,7.350.000,,5.679.000,,5.445.000,,6.153.628,,12
Filadelfia,2010,Estados Unidos,,7.300.000,,5.570.000,,5.585.000,,5.965.368,,13
Santiago de Chile,2010,Chile,,7.150.000,,6.174.000,,5.703.000,,6.426.210,,14
Toronto,2011,Canadá,,7.100.000,,6.456.000,,5.993.000,,5.583.064,,15
Houston,2010,Estados Unidos,,6.200.000,,5.764.000,,5.636.000,,5.920.490,,16
Miami,2010,Estados Unidos,,6.100.000,,5.764.000,,5.817.000,,5.566.299,,17
Dallas,2002,Estados Unidos,,5.985.000,,5.225.000,,5.507.000,,4.656.690,,18
Detroit - Windsor,2010 2011,Estados Unidos Canadá,,5.700.000,,3.947.000,,3.954.000,,4.615.559,,19
Caracas,2011,Venezuela,,5.690.000,,4.083.000,,4.513.000,,2.904.376,,20
Atlanta,2010,Estados Unidos,,5.500.000,,5.015.000,,5.142.000,,5.286.727,,21
Guadalajara,2010,México,,5.007 756,,4.603.000,,4.843.000,,4.495.182,,22
Belo Horizonte,2010,Brasil,,4.925.000,,4.517.000,,5.716.000,,5.414.701,,23
Monterrey,2010,México,,4.456.000,,4.513.000,,4.810.000,,1.135.512,,24
Phoenix,2010,Estados Unidos,,4.325.000,,4.194.000,,4.063.000,,4.193.127,,24
Montreal,2011,Canadá,,4.100.000,,3.536.000,,3.981.000,,3.824.221,,25
Porto Alegre,2010,Brasil,,4.075.000,,3.413.000,,3.603.000,,3.958.985,,26
Seattle,2010,Estados Unidos,,4.075.000,,3.218.000,,3.249.000,,3.439.815,,27
Tampa,2010,Estados Unidos,,4.025.000,,2.621.000,,2.659.000,,2.783.514,,28
Brasilia,2010,Brasil,,3.925.000,,2.536.000,,4.155.000,,3.717.728,,29
Medellín,2005,Colombia,,3.900.000,,3.568.000,,3.911.000,,2.175.681,,30
Recife,2010,Brasil,,3.775.000,,3.347.000,,3.739.000,,3.690.547,,31
Salvador de Bahía,2010,Brasil,,3.650.000,,3.190.000,,3.583.000,,3.573.973,,32
Santo Domingo,2010,República Dominicana,,3.650.000,,2.925.000,,2.945.000,,2.581.827,,33
Fortaleza,2010,Brasil,,3.575.000,,3.401.000,,3.880.000,,3.615.767,,34
Denver,2010,Estados Unidos,,3.525.000,,2.559.000,,2.599.000,,2.543.594,,35
Maracaibo,2011,Venezuela,,3.400.000,,2.861.000,,2.916.000,,2.904.376,,36
Curitiba,2010,Brasil,,3.275.000,,3.102.000,,3.474.000,,3.174.201,,37
San Diego,2010,Estados Unidos,,3.275.000,,3.086.000,,3.107.000,,3.095.308,,38
Cali,2005,Colombia,,3.250.000,,2.357.000,,2.646.000,,2.083.171,,39
Cleveland,2010,Estados Unidos,,3.075.000,,1.783.000,,1.773.000,,2.077.246,,40
Orlando,2010,Estados Unidos,,3.075.000,,2.040.000,,1.731.000,,2.134.418,,41
Campinas,2010,Brasil,,3.050.000,,2.645.000,,3.047.000,,2.797.137,,42
Minneapolis,2010,Estados Unidos,,3.050.000,,2.771.000,,2.791.000,,3.348.857,,43
Ciudad de Guatemala,2002,Guatemala,,3.000.000,,1.289.000,,2.918.000,,942.348,,44
Guayaquil,2010,Ecuador,,3.000.000,,2.700.000,,2.709.000,,2.278.691,,45
Puebla de Zaragoza,2010,México,,2.975.000,,2.088.000,,2.984.000,,1.434.062,,46
Puerto Príncipe,2003,Haití,,2.850.000,,2.440.000,,2.440.000,,703.023,,47
Cincinnati,2010,Estados Unidos,,2.725.000,,1.682.000,,1.688.000,,2.114.755,,48
Quito,2010,Ecuador,,2.550.000,,1.720.000,,1.726.000,,1.607.734,,49
Vancouver,2011,Canadá,,2.500.000,,2.273.000,,2.485.000,,2.313.328,,50
Barranquilla,2005,Colombia,,2.450.000,,1.218.000,,1.500.000,,1.967.000,,51
"Cantón (incluyendo Dongguan, Foshan, Jiangmen, Shenzhen y Zhongshan)",2010,China,46.900.000,,,45.553.000,,42.941.000,,39.264.086,,1
Tokio,2010,Japón,39.500.000,,,37.843.000,,38.001.000,,8.945.695,,2
"Shanghái (incl. Suzhou, Kunshan)",2010,China,30.400.000,,,30.477.000,,29.213.000,,25.420.288,,3
Yakarta (incluyendo Bogor),2010,Indonesia,30.100.000,,,30.539.000,,11.399.000,,10.558.121,,4
Delhi,2011,India,28.400.000,,,24.998.000,,25.703.000,,16.349.831,,5
Karachi,2011,Pakistán,25.300.000,,,22.123.000,,16.618.000,,21.142.625,,6
Manila,2010,Filipinas,24.600.000,,,24.123.000,,12.946.000,,1.652.171,,7
Bombay (incluyendo Kalyan y Vasai-Virar),2011,India,24.300.000,,,21.732.000,,21.043.000,,19.617.302,,8
Seúl (incluyendo Incheon y Suwon),2010,Corea del Sur,24.100.000,,,23.480.000,,10.558.000,,23.836.272,,9
Daca,2011,Bangladés,22.300.000,,,15.669.000,,17.598.000,,14.543.124,,10
Pekín,2010,China,20.700.000,,,21.009.000,,20.384.000,,16.446.857,,11
Osaka,2010,Japón,19.800.000,,,17.444.000,,20.238.000,,2.665.314,,12
Bangkok (incluyendo Samut Prakan),2010,Tailandia,16.700.000,,,14.998.000,,11.084.000,,8.986.218,,13
Calcuta,2011,India,15.900.000,,,14.667.000,,14.865.000,,14.057.991,,14
Teherán (incluyendo Karaj),2011,Irán,13.600.000,,,13.532.000,,10.239.000,,9.768.677,,15
Tianjin,2010,China,11.200.000,,,10.920.000,,11.210.000,,9.290.263,,16
Nagoya,2010,Japón,10.400.000,,,10.177.000,,9.406.000,,2.263.894,,17
Bangalore,2011,India,10.300.000,,,9.807.000,,10.087.000,,8.520.435,,18
Lahore,1998,Pakistán,9.950.000,,,10.052.000,,8.741.000,,5.143.495,,19
Madrás,2011,India,9.900.000,,,9.714.000,,9.890.000,,8.653.521,,20
Xiamen (incluyendl Quanzhou),2010,China,9.850.000,,,11.130.000,,5.825.000,,4.273.841,,21
Chengdu,2010,China,9.400.000,,,10.376.000,,7.556.000,,6.316.922,,22
Taipéi,,Taiwán,9.000.000,,,7.438.000,,2.666.000,,,,23
Hyderabad,2011,India,8.900.000,,,8.754.000,,8.942.000,,7.677.018,,24
Hangzhou (incluyendo Shaoxing),2010,China,8.150.000,,,9.625.000,,8.467.000,,6.887.819,,25
Ciudad Ho Chi Minh,2009,Vietnam,8.150.000,,,8.957.000,,7.298.000,,5.880.615,,26
Wuhan,2010,China,7.950.000,,,7.509.000,,7.906.000,,7.541.527,,27
"Shantou (incluyendo Chaozhou, Puning, Chaoyang y Chaonan)",2010,China,7.850.000,,,6.337.000,,6.287.000,,5.775.239,,28
Shenyang (incluyendo Fushun),2010,China,7.600.000,,,7.402.000,,7.613.000,,7.037.040,,29
Ahmedabad,2011,India,7.350.000,,,7.186.000,,7.343.000,,6.357.693,,30
Hong Kong,2011,Hong Kong,7.200.000,,,7.246.000,,7.314.000,,7.071.576,,31
Chongqing,2010,China,6.950.000,,,7.217.000,,13.332.000,,6.263.790,,32
Kuala Lumpur,2000,Malasia,6.950.000,,,7.088.000,,6.837.000,,1.305.792,,33
Singapur - Johor Bahru,2010 2000,Singapur Malasia,6.900.000,,,7.312.000,,6.531.000,,5.719.644,,34
Nankín,2010,China,6.750.000,,,6.155.000,,7.369.000,,5.827.888,,35
Bagdad,1987,Irak,6.750.000,,,6.625.000,,6.643.000,,3.841.268,,36
Riad,2010,Arabia Saudita,6.550.000,,,5.666.000,,6.370.000,,5.188.286,,37
Xi'an,2010,China,6.550.000,,,5.977.000,,6.044.000,,5.206.253,,38
Pune,2011,India,6.000.000,,,5.631.000,,5.728.000,,5.057.709,,39
Bandung,2010,Indonesia,5.900.000,,,5.695.000,,2.544.000,,2.394.873,,40
Wenzhou (incluyendo Rui'an),2010,China,5.800.000,,,4.303.000,,3.208.000,,3.614.208,,41
Qingdao,2010,China,5.650.000,,,5.816.000,,4.566.000,,3.990.942,,42
Surat,2011,India,5.600.000,,,5.447.000,,5.650.000,,4.591.246,,43
Harbin,2010,China,5.100.000,,,4.815.000,,5.457.000,,4.596.313,,44
Rangún,2014,Birmania,5.100.000,,,4.800.000,,4.802.000,,4.728.524,,45
Kitakyushu - Fukuoka,2010,Japón,4.725.000,,,4.505.000,,5.510.000,,2.440.589,,46
Surabaya,2010,Indonesia,4.675.000,,,4.881.000,,2.853.000,,2.765.487,,47
Colombo,2012,Sri Lanka,4.650.000,,,2.180.000,,707.000,,561.314,,48
Ankara,2000,Turquía,4.625.000,,,4.538.000,,4.750.000,,3.203.362,,49
Zhengzhou,2010,China,4.600.000,,,4.942.000,,4.387.000,,3.677.032,,50
Moscú,2010.0,Rusia,16 800 000???,,,16 170 000???,,12 166 000???,,11 612 885???,,1
Londres,2011.0,Reino Unido,14 300 000???,,,10 236 000???,,10 313 000???,,11 140 445???,,2
Estambul,2000.0,Turquía,14 200 000,,,13.287 000,,14 164 000,,8 803 468,,3
París,1999.0,Francia,11 200 000,,,10.858.000,,10.843.000,,9.738 809,,4
Madrid,2011.0,España,6 400 000,,,6 171 000,,6 199 000,,3 198 645,,5
Región del Ruhr,,Alemania,5 600 000,,,---,,---,,,,6
San Petersburgo,2010.0,Rusia,5 400 000,,,5 126 000,,4 993 000,,4 879 566,,7
Milán,2011.0,Italia,5.150.000,,,5.257.000,,3.099.000,,1.242.123,,8
Colonia - Düsseldorf,2011.0,Alemania,4.825.000,,,8.783.000,,1.640.000,,1.591.866,,9
Barcelona,2011.0,España,4.700.000,,,4.693.000,,5.258.000,,1.611.013,,10
Berlín,2011.0,Alemania,4.450.000,,,4.069.000,,3.563.000,,3.292.365,,11
Nápoles,2011.0,Italia,4.225.000,,,3.706.000,,2.202.000,,962.003,,12
Atenas,2011.0,Grecia,3.600.000,,,3.484.000,,3.052.000,,3.168.846,,13
Roma,2011.0,Italia,3.550.000,,,3.906.000,,3.718.000,,2.617.175,,14
Kiev,2001.0,Ucrania,3.375.000,,,2.241.000,,2.942.000,,2.611.327,,15
Birmingham,2011.0,Reino Unido,3.100.000,,,2.512.000,,2.515.000,,2.697.168,,16
Róterdam,2001.0,Países Bajos,3.100.000,,,2.660.000,,993.000,,608.422,,17
Fráncfort del Meno,2011.0,Alemania,3.100.000,,,1.915.000,,715.000,,667.925,,18
Mánchester,2011.0,Reino Unido,3.000.000,,,2.639.000,,2.646.000,,2.637.335,,19
Hamburgo,2011.0,Alemania,2.750.000,,,2.087.000,,1.831.000,,1.706.696,,20
Lisboa,2001.0,Portugal,2.600.000,,,2.666.000,,2.884.000,,564.657,,21
Budapest,2011.0,Hungría,2.550.000,,,1.710.000,,1.714.000,,1.729.040,,22
Katowice,2011.0,Polonia,2.400.000,,,2.190.000,,303.000,,310.764,,23
Ámsterdam,2001.0,Países Bajos,2.375.000,,,1.624.000,,1.091.000,,734.533,,24
Stuttgart,2011.0,Alemania,2.300.000,,,1.379.000,,626.000,,585.890,,25
Varsovia,2011.0,Polonia,2.275.000,,,1.720.000,,1.722.000,,1.700.612,,26
Bucarest,2011.0,Rumania,2.175.000,,,1.860.000,,1.868.000,,1.883.425,,27
Múnich,2011.0,Alemania,2.175.000,,,1.981.000,,1.438.000,,1.348.335,,28
Viena,2011.0,Austria,2.125.000,,,1.763.000,,1.753.000,,2.015.580,,29
Leeds,2011.0,Reino Unido,2.125.000,,,1.893.000,,1.912.000,,2.058.861,,30
Estocolmo,,Suecia,2.075.000,,,1.484.000,,1.486.000,,,,31
Bruselas,,Bélgica,2.000.000,,,2.089.000,,2.045.000,,,,32
Minsk,2009.0,Bielorrusia,1.950.000,,,1.910.000,,1.915.000,,1.836.808,,33
Lyon,1999.0,Francia,1.920.000,,,1.583.000,,1.609.000,,1.428.998,,34
Liverpool,2011.0,Reino Unido,1.830.000,,,875.000,,870.000,,1.367.147,,35
Valencia,2011.0,España,1.780.000,,,1.561.000,,810.000,,792.054,,36
Nizni Nóvgorod,2010.0,Rusia,1.750.000,,,1.201.000,,1.212.000,,1.250.619,,37
Turín,2011.0,Italia,1.670.000,,,1.521.000,,1.765.000,,872.367,,38
Járkov,2001.0,Ucrania,1.650.000,,,1.440.000,,1.441.000,,1.470.902,,39
Marsella,1999.0,Francia,1.640.000,,,1.397.000,,1.605.000,,1.463.016,,40
Glasgow,2011.0,Reino Unido,1.610.000,,,1.220.000,,1.223.000,,1.601.154,,41
Copenhague,,Dinamarca,1.600.000,,,1.248.000,,1.268.000,,,,42
Sheffield,2011.0,Reino Unido,1.530.000,,,706.000,,706.000,,795.844,,43
Mannheim,2011.0,Alemania,1.520.000,,,559.000,,319.000,,290.117,,44
Donetsk,2001.0,Ucrania,1.480.000,,,930.000,,934.000,,1.016.194,,45
Newcastle upon Tyne,2011.0,Reino Unido,1.460.000,,,793.000,,791.000,,1.220.781,,46
Praga,2001.0,República Checa,1.460.000,,,1.310.000,,1.314.000,,1.169.106,,47
Volgogrado,2010.0,Rusia,1.410.000,,,999.000,,1.022.000,,1.021.215,,48
Belgrado,2011.0,Serbia,1.400.000,,,1.180.000,,1.182.000,,1.166.763,,49
Dnipropetrovsk,2001.0,Ucrania,1.390.000,,,950.000,,957.000,,1.065.008,,50
