name_model,description,owner,price,license,published_date,formats_available,list_categories,links_categories,list_tags,links_tags
Classic wall panel,classic wall panel  you can use for your interior and exterior projects,rasull,Free, - Editorial Uses Only,2019-05-18,Unknown,"['3D Model', 'interior design', 'housewares', 'general decor', 'picture frame']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/general-decor', 'https://www.turbosquid.com/3d-model/picture-frame']","['classic', 'panel', '3d', 'model', 'interior', 'design', 'free', 'wall']","['https://www.turbosquid.com/Search/3D-Models/classic', 'https://www.turbosquid.com/Search/3D-Models/panel', 'https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/model', 'https://www.turbosquid.com/Search/3D-Models/interior', 'https://www.turbosquid.com/Search/3D-Models/design', 'https://www.turbosquid.com/Search/3D-Models/free', 'https://www.turbosquid.com/Search/3D-Models/wall']"
Atom molecule,Atom Molecule,kiankh,Free, - All Extended Uses,2019-05-18,"['FBX ', 'OBJ ']","['3D Model', 'science', 'chemistry', 'atom']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/science', 'https://www.turbosquid.com/3d-model/chemistry', 'https://www.turbosquid.com/3d-model/atom']","['molecule', 'science', 'atom', 'chart', 'of', 'the', 'elements']","['https://www.turbosquid.com/Search/3D-Models/molecule', 'https://www.turbosquid.com/Search/3D-Models/science', 'https://www.turbosquid.com/Search/3D-Models/atom', 'https://www.turbosquid.com/Search/3D-Models/chart', 'https://www.turbosquid.com/Search/3D-Models/of', 'https://www.turbosquid.com/Search/3D-Models/the', 'https://www.turbosquid.com/Search/3D-Models/elements']"
Cartoonish lowpoly grass patch ,"The model was originally created in Maya 3D 2018, then fully textured and rendered using arnold.Features: -All textures and materials are tailored and applied for high quality render results. -All objects have fully unwrapped UVs. -No extra plugins are needed for this model. Specifications:         -Model is included in fbx formats.                  -OBJ         -Model consists of 86864 Faces and 52600 Vertices.         -Model consists of quads only.         -All Textures are JPG format file.",usman039,Free, - All Extended Uses,2019-05-18,['FBX '],"['3D Model', 'nature', 'plants', 'grasses', 'ornamental grass', 'summer grass']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/nature', 'https://www.turbosquid.com/3d-model/plants', 'https://www.turbosquid.com/3d-model/grasses', 'https://www.turbosquid.com/3d-model/ornamental-grass', 'https://www.turbosquid.com/3d-model/summer-grass']","['plant', 'dirt', 'rock', 'boulder', 'jag', 'jagged', 'desert', 'soil', 'sand', 'area', 'sandy', 'cross', 'grass', 'grassy', 'section', 'dune', 'dunes', 'deserts', 'landscape', 'land', 'terrain', 'part']","['https://www.turbosquid.com/Search/3D-Models/plant', 'https://www.turbosquid.com/Search/3D-Models/dirt', 'https://www.turbosquid.com/Search/3D-Models/rock', 'https://www.turbosquid.com/Search/3D-Models/boulder', 'https://www.turbosquid.com/Search/3D-Models/jag', 'https://www.turbosquid.com/Search/3D-Models/jagged', 'https://www.turbosquid.com/Search/3D-Models/desert', 'https://www.turbosquid.com/Search/3D-Models/soil', 'https://www.turbosquid.com/Search/3D-Models/sand', 'https://www.turbosquid.com/Search/3D-Models/area', 'https://www.turbosquid.com/Search/3D-Models/sandy', 'https://www.turbosquid.com/Search/3D-Models/cross', 'https://www.turbosquid.com/Search/3D-Models/grass', 'https://www.turbosquid.com/Search/3D-Models/grassy', 'https://www.turbosquid.com/Search/3D-Models/section', 'https://www.turbosquid.com/Search/3D-Models/dune', 'https://www.turbosquid.com/Search/3D-Models/dunes', 'https://www.turbosquid.com/Search/3D-Models/deserts', 'https://www.turbosquid.com/Search/3D-Models/landscape', 'https://www.turbosquid.com/Search/3D-Models/land', 'https://www.turbosquid.com/Search/3D-Models/terrain', 'https://www.turbosquid.com/Search/3D-Models/part']"
Mini bar ,a liitle wooden tiki bar,mehdaoui_saleh,Free, - All Extended Uses,2019-05-16,"['FBX ', 'OBJ ', '3D Studio']","['3D Model', 'furnishings', 'bar counter', 'tiki bar']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/bar-counter', 'https://www.turbosquid.com/3d-model/tiki-bar']","['mini', 'bar']","['https://www.turbosquid.com/Search/3D-Models/mini', 'https://www.turbosquid.com/Search/3D-Models/bar']"
Glass,WINE GLASS:2 glasses: with and without wine.No liquid modifier just materials: red glass and white.Object has 1026 polygons and 1088 verts.no texturesEnjoy it.,TdeX,Free, - All Extended Uses,2019-05-15,"['FBX ', 'OBJ ']","['3D Model', 'interior design', 'housewares', 'dining room housewares', 'glassware', 'wine glass']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/dining-room-housewares', 'https://www.turbosquid.com/3d-model/glassware', 'https://www.turbosquid.com/3d-model/wine-glass']","['Glass', 'wine', 'with', 'wine.']","['https://www.turbosquid.com/Search/3D-Models/glass', 'https://www.turbosquid.com/Search/3D-Models/wine', 'https://www.turbosquid.com/Search/3D-Models/with', 'https://www.turbosquid.com/Search/3D-Models/wine.']"
Pan low poly ,"Made with 3DS MAX2017POLY:766VERTS:766Textured and unwrapped.No subdivide polys :201 ,verts:183",diggy17,Free, - All Extended Uses,2019-05-14,"['OBJ 2017', 'FBX 2017']","['3D Model', 'interior design', 'housewares', 'kitchenware', 'cookware', 'pan', 'frying pan']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/kitchenware', 'https://www.turbosquid.com/3d-model/cookware', 'https://www.turbosquid.com/3d-model/pan', 'https://www.turbosquid.com/3d-model/frying-pan']","['Low', 'poly', 'pan', 'for', 'games']","['https://www.turbosquid.com/Search/3D-Models/low', 'https://www.turbosquid.com/Search/3D-Models/poly', 'https://www.turbosquid.com/Search/3D-Models/pan', 'https://www.turbosquid.com/Search/3D-Models/for', 'https://www.turbosquid.com/Search/3D-Models/games']"
Kettle ,Simple kettleSubdivision readyClean geometryUnwrapped UV's,VIR7,Free, - All Extended Uses,2019-05-14,"['FBX ', 'OBJ ']","['3D Model', 'interior design', 'housewares', 'kitchenware', 'cookware', 'kettle']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/kitchenware', 'https://www.turbosquid.com/3d-model/cookware', 'https://www.turbosquid.com/3d-model/kettle']","['kettle', 'kitchen', 'kitchenware', 'tea', 'coffee']","['https://www.turbosquid.com/Search/3D-Models/kettle', 'https://www.turbosquid.com/Search/3D-Models/kitchen', 'https://www.turbosquid.com/Search/3D-Models/kitchenware', 'https://www.turbosquid.com/Search/3D-Models/tea', 'https://www.turbosquid.com/Search/3D-Models/coffee']"
Wine barrel ,WINE BARREL:Object made in blender (version: 2.79).Polygons and Verts:Verts: 1849Polygons: 1804Object is UV unwrapped.Files: OBJ FBX including textures.,TdeX,Free, - All Extended Uses,2019-05-14,"['FBX ', 'OBJ ']","['3D Model', 'industrial', 'industrial container', 'barrel', 'wooden barrel', 'wine barrel']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/industrial', 'https://www.turbosquid.com/3d-model/industrial-container', 'https://www.turbosquid.com/3d-model/barrel', 'https://www.turbosquid.com/3d-model/wooden-barrel', 'https://www.turbosquid.com/3d-model/wine-barrel']","['Wine', 'Barrel', 'beer', 'wood', 'metal', 'liquid', 'old']","['https://www.turbosquid.com/Search/3D-Models/wine', 'https://www.turbosquid.com/Search/3D-Models/barrel', 'https://www.turbosquid.com/Search/3D-Models/beer', 'https://www.turbosquid.com/Search/3D-Models/wood', 'https://www.turbosquid.com/Search/3D-Models/metal', 'https://www.turbosquid.com/Search/3D-Models/liquid', 'https://www.turbosquid.com/Search/3D-Models/old']"
Four pack of soda can,"Model are extremely detailed, suitable for photo realistic scenes and closeups alike. Model is high poly, and intended for photo real arnold scenes.",usman039,Free, - All Extended Uses,2019-05-14,['FBX '],"['3D Model', 'food and drink', 'beverages', 'soda', 'soda can']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/food-and-drink', 'https://www.turbosquid.com/3d-model/beverages', 'https://www.turbosquid.com/3d-model/soda', 'https://www.turbosquid.com/3d-model/soda-can']","['can', 'beer', 'cola', 'juice', 'drink', 'soda', 'beverage']","['https://www.turbosquid.com/Search/3D-Models/can', 'https://www.turbosquid.com/Search/3D-Models/beer', 'https://www.turbosquid.com/Search/3D-Models/cola', 'https://www.turbosquid.com/Search/3D-Models/juice', 'https://www.turbosquid.com/Search/3D-Models/drink', 'https://www.turbosquid.com/Search/3D-Models/soda', 'https://www.turbosquid.com/Search/3D-Models/beverage']"
Cardboard - game ready free low-poly ,Basic Game-Ready Mesh. Everything was done by me and you can do with it what you want.1024x1024 texture *.png double-sided Mesh texture is unbaked to give you the option to change the texture,Latannan,Free, - All Extended Uses,2019-05-13,['FBX '],"['3D Model', 'interior design', 'housewares', 'box', 'cardboard box']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/housewares', 'https://www.turbosquid.com/3d-model/box', 'https://www.turbosquid.com/3d-model/cardboard-box']","['Cardboard', 'Box', 'Delivery', 'Warehouse', 'Package']","['https://www.turbosquid.com/Search/3D-Models/cardboard', 'https://www.turbosquid.com/Search/3D-Models/box', 'https://www.turbosquid.com/Search/3D-Models/delivery', 'https://www.turbosquid.com/Search/3D-Models/warehouse', 'https://www.turbosquid.com/Search/3D-Models/package']"
Shield,"Lowpoly model of wooden shield in handpaint style- 340 polygons- 371 verticesCorrect geometryTexture size 2048x2048, PNG format",Drakulla,Free, - All Extended Uses,2019-05-13,"['Collada ', 'FBX ', 'OBJ ']","['3D Model', 'weaponry', 'armour', 'shield']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/weaponry', 'https://www.turbosquid.com/3d-model/armour', 'https://www.turbosquid.com/3d-model/shield']","['shield', 'viking', 'antique', 'Medieval', 'Knight', 'Fantasy', 'Historic', 'Max', 'armour', 'armor', 'battle', 'war', 'free']","['https://www.turbosquid.com/Search/3D-Models/shield', 'https://www.turbosquid.com/Search/3D-Models/viking', 'https://www.turbosquid.com/Search/3D-Models/antique', 'https://www.turbosquid.com/Search/3D-Models/medieval', 'https://www.turbosquid.com/Search/3D-Models/knight', 'https://www.turbosquid.com/Search/3D-Models/fantasy', 'https://www.turbosquid.com/Search/3D-Models/historic', 'https://www.turbosquid.com/Search/3D-Models/max', 'https://www.turbosquid.com/Search/3D-Models/armour', 'https://www.turbosquid.com/Search/3D-Models/armor', 'https://www.turbosquid.com/Search/3D-Models/battle', 'https://www.turbosquid.com/Search/3D-Models/war', 'https://www.turbosquid.com/Search/3D-Models/free']"
Sport bottle,a sports bottle i designed it and modeled it by blender check it out and tell me your opinion took me few hours  i added material and rendering .,MusiritoKun,Free, - All Extended Uses,2019-05-13,Unknown,"['3D Model', 'sports', 'exercise equipment', 'sports bottle']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/sports', 'https://www.turbosquid.com/3d-model/exercise-equipment', 'https://www.turbosquid.com/3d-model/sports-bottle']","['sports', 'design', ""musirito's"", 'for', 'free', 'high', 'quality', 'bottle']","['https://www.turbosquid.com/Search/3D-Models/sports', 'https://www.turbosquid.com/Search/3D-Models/design', 'https://www.turbosquid.com/Search/3D-Models/musirito%27s', 'https://www.turbosquid.com/Search/3D-Models/for', 'https://www.turbosquid.com/Search/3D-Models/free', 'https://www.turbosquid.com/Search/3D-Models/high', 'https://www.turbosquid.com/Search/3D-Models/quality', 'https://www.turbosquid.com/Search/3D-Models/bottle']"
M1911 ,"This is a high quality, realistic model of the Remington model 1911.It comes textured which was created in substance painter and UV unwrapped in blender, the UV maps are not perfect but allow the texture to cover the weapon well.High poly model contains over 700,000 vertsI have included the High poly and Low poly files.Each object in the model is its own object, meaning each object is UV unwrapped and texture to the best of my current ability. I think the model came out really well!Thank you for viewing my model!",AJSGaming,Free, - Editorial Uses AllowedExtended Uses May Need Clearances,2019-05-12,"['OBJ ', 'FBX ']","['3D Model', 'weaponry', 'weapons', 'firearms', 'handgun', 'semi-automatic pistol']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/weaponry', 'https://www.turbosquid.com/3d-model/weapons', 'https://www.turbosquid.com/3d-model/firearms', 'https://www.turbosquid.com/3d-model/handgun', 'https://www.turbosquid.com/3d-model/semi-automatic-pistol']","['Gun', 'M1911', 'Pistol', 'Colt', 'Weapons', 'Weaponry', 'Arms', 'Armory', 'Handgun', 'military', 'old', 'marines']","['https://www.turbosquid.com/Search/3D-Models/gun', 'https://www.turbosquid.com/Search/3D-Models/m1911', 'https://www.turbosquid.com/Search/3D-Models/pistol', 'https://www.turbosquid.com/Search/3D-Models/colt', 'https://www.turbosquid.com/Search/3D-Models/weapons', 'https://www.turbosquid.com/Search/3D-Models/weaponry', 'https://www.turbosquid.com/Search/3D-Models/arms', 'https://www.turbosquid.com/Search/3D-Models/armory', 'https://www.turbosquid.com/Search/3D-Models/handgun', 'https://www.turbosquid.com/Search/3D-Models/military', 'https://www.turbosquid.com/Search/3D-Models/old', 'https://www.turbosquid.com/Search/3D-Models/marines']"
Ka-bar high poly ,"Model of the KA-BAR knife is a high quality, photo real model that will enhance detail and realism to any of your rendering projects. The model has a fully textured, detailed design that allows for close-up renders, and was originally modeled in 3ds Max 2018 and rendered with V-Ray. Fidelity is optimal up to a 4k render. Renders have no postprocessing.Hope you like it!Features:- High quality polygonal model, correctly scaled for an accurate representation of the original object.- Model is fully textured with all materials applied.- No part-name confusion when importing several models into a scene.- No cleaning up necessaryjust drop your models into the scene and start rendering.- No special plugin needed to open scene.- Model does not include any backgrounds or scenes used in preview images.- Units: cmFile Formats:- 3ds Max 2018 V-Ray and standard materials scenes- 3ds Max 2017- 3ds Max 2016- 3ds Max 2015- OBJ (Multi Format)- 3DS (Multi Format)- FBX (Multi Format)Textures Formats:- (6 .png) 4096 x 4096DiffuseReflectionGlossinessiorNormalHeight- High quality polygonal model-Texturing Substance Painter - render with V-ray 3.60 in 3ds Max 2018- display unit scale : santimtric (cm)- system unit setup : 1 unit = 1 cm- OBJ (multi format) subdivision 0- FBX (multi format) subdivision 05122 polygons no TurboSmooth / 40934 TurboSmooth Lv15183 vertices no TurboSmooth / 20606 TurboSmooth Lv1",XwarX _ Serob Tsarukyan,Free, - All Extended Uses,2019-05-12,"['FBX ', 'OBJ ', 'Other ']","['3D Model', 'weaponry', 'weapons', 'bladed weapon', 'knife', 'combat knife', 'ka-bar']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/weaponry', 'https://www.turbosquid.com/3d-model/weapons', 'https://www.turbosquid.com/3d-model/bladed-weapon', 'https://www.turbosquid.com/3d-model/knife', 'https://www.turbosquid.com/3d-model/combat-knife', 'https://www.turbosquid.com/3d-model/ka-bar']","['KABAR', 'KA-BAR', 'knife', 'marines', 'war', 'fighting', 'combat', 'army', 'blade', 'weapon', '3d', '3dsmax', 'high', 'highpoly', '4k']","['https://www.turbosquid.com/Search/3D-Models/kabar', 'https://www.turbosquid.com/Search/3D-Models/ka-bar', 'https://www.turbosquid.com/Search/3D-Models/knife', 'https://www.turbosquid.com/Search/3D-Models/marines', 'https://www.turbosquid.com/Search/3D-Models/war', 'https://www.turbosquid.com/Search/3D-Models/fighting', 'https://www.turbosquid.com/Search/3D-Models/combat', 'https://www.turbosquid.com/Search/3D-Models/army', 'https://www.turbosquid.com/Search/3D-Models/blade', 'https://www.turbosquid.com/Search/3D-Models/weapon', 'https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/3dsmax', 'https://www.turbosquid.com/Search/3D-Models/high', 'https://www.turbosquid.com/Search/3D-Models/highpoly', 'https://www.turbosquid.com/Search/3D-Models/4k']"
Axe pbr low-poly 4k,"Axe PBR Low-Poly 4KI invented it myself (Everything belongs to me)Check out my other work____________________________________Texture Sizes:All - 4096x4096(BaseColor, Roughness, Metalness,Normal)PNG* Geometry: Polygon mesh* Polygons:154* Vertices:82* Rigged - No* Animated - No* LOW-POLY - Yes* PBR - Yes* Number of Meshes: 1* Number of Textures:: 4* Materials - 1* UVW mapping - Non-overlapping* LODs: 0* Documentation:No* mportant/Additional Notes: No>Tegs:axeaxhatchetcleaverweapongunweaponryunityunreal engine 4cryengineVR",GooPi,Free, - All Extended Uses,2019-05-12,"['3D Studio', 'FBX ', 'OBJ ', 'STL ']","['3D Model', 'industrial', 'tools', 'cutting tools', 'axe']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/industrial', 'https://www.turbosquid.com/3d-model/tools', 'https://www.turbosquid.com/3d-model/cutting-tools', 'https://www.turbosquid.com/3d-model/axe']","['axe', 'ax', 'hatchet', 'cleaver', 'weapon', 'gun', 'weaponry', 'unity', 'unreal', 'engine', '4', 'cryengine', 'VR']","['https://www.turbosquid.com/Search/3D-Models/axe', 'https://www.turbosquid.com/Search/3D-Models/ax', 'https://www.turbosquid.com/Search/3D-Models/hatchet', 'https://www.turbosquid.com/Search/3D-Models/cleaver', 'https://www.turbosquid.com/Search/3D-Models/weapon', 'https://www.turbosquid.com/Search/3D-Models/gun', 'https://www.turbosquid.com/Search/3D-Models/weaponry', 'https://www.turbosquid.com/Search/3D-Models/unity', 'https://www.turbosquid.com/Search/3D-Models/unreal', 'https://www.turbosquid.com/Search/3D-Models/engine', 'https://www.turbosquid.com/Search/3D-Models/4', 'https://www.turbosquid.com/Search/3D-Models/cryengine', 'https://www.turbosquid.com/Search/3D-Models/vr']"
Dining table round for 4 people ,**Photorealistic 3D model round dining table is a perfect solution for any kitchen or dining room area that you might create as a part of your 3D visualization**High quality 3d model for interior design.Width x Height x Depth / 2200 mm x 1150 mm x 2300 mmAll materials are texturedAlle our models we create are created to represent real-life object's dimensions in millimetre. No light or camera settings are included in the model.If you have any further questions please let us know.*Your Danthree team  */ 3d models modelled with love to every detail,Danthree,Free, - All Extended Uses,2019-05-12,"['OBJ ', '3D Studio', 'FBX ']","['3D Model', 'furnishings', 'table', 'dining table']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/table', 'https://www.turbosquid.com/3d-model/dining-table']","['table', 'kitchen', 'furniture', 'interior', 'design', 'modern', 'room', 'wood', 'living', 'restaurant', 'dining-table', 'metal']","['https://www.turbosquid.com/Search/3D-Models/table', 'https://www.turbosquid.com/Search/3D-Models/kitchen', 'https://www.turbosquid.com/Search/3D-Models/furniture', 'https://www.turbosquid.com/Search/3D-Models/interior', 'https://www.turbosquid.com/Search/3D-Models/design', 'https://www.turbosquid.com/Search/3D-Models/modern', 'https://www.turbosquid.com/Search/3D-Models/room', 'https://www.turbosquid.com/Search/3D-Models/wood', 'https://www.turbosquid.com/Search/3D-Models/living', 'https://www.turbosquid.com/Search/3D-Models/restaurant', 'https://www.turbosquid.com/Search/3D-Models/dining-table', 'https://www.turbosquid.com/Search/3D-Models/metal']"
Smart tv ,Photorealistic 3d TV for interior designHigh quality 3d model for interior design.Width x Height x Depth / 1100 mm x 675 mm x 170 mmAll materials are texturedAlle our models we create are created to represent real-life object's dimensions in millimetre. No light or camera settings are included in the model.If you have any further questions please let us know.Your Danthree team  / 3d models modelled with love to every detail,Danthree,Free, - All Extended Uses,2019-05-12,"['OBJ ', '3D Studio', 'FBX ']","['3D Model', 'technology', 'video devices', 'tv', 'flatscreen television']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/technology', 'https://www.turbosquid.com/3d-model/video-devices', 'https://www.turbosquid.com/3d-model/tv', 'https://www.turbosquid.com/3d-model/flatscreen-television']","['tv', 'electronic', 'technology', 'screen', 'video', 'lcd', 'hd', 'led', 'monitor', 'television', 'entertainment', 'laptop', 'omputer-equipment', 'ultra', 'uhd', 'interior', 'living']","['https://www.turbosquid.com/Search/3D-Models/tv', 'https://www.turbosquid.com/Search/3D-Models/electronic', 'https://www.turbosquid.com/Search/3D-Models/technology', 'https://www.turbosquid.com/Search/3D-Models/screen', 'https://www.turbosquid.com/Search/3D-Models/video', 'https://www.turbosquid.com/Search/3D-Models/lcd', 'https://www.turbosquid.com/Search/3D-Models/hd', 'https://www.turbosquid.com/Search/3D-Models/led', 'https://www.turbosquid.com/Search/3D-Models/monitor', 'https://www.turbosquid.com/Search/3D-Models/television', 'https://www.turbosquid.com/Search/3D-Models/entertainment', 'https://www.turbosquid.com/Search/3D-Models/laptop', 'https://www.turbosquid.com/Search/3D-Models/omputer-equipment', 'https://www.turbosquid.com/Search/3D-Models/ultra', 'https://www.turbosquid.com/Search/3D-Models/uhd', 'https://www.turbosquid.com/Search/3D-Models/interior', 'https://www.turbosquid.com/Search/3D-Models/living']"
Classic table lamp round free,**Photorealistic round 3d table lamp for office and living area** High quality 3d model for interior design.Width x Height x Depth / 215 mm x 500 mm x 350 mmAll materials are texturedAlle our models we create are created to represent real-life object's dimensions in millimetre. No light or camera settings are included in the model.If you have any further questions please let us know.*Your Danthree team  */ 3d models modelled with love to every detail,Danthree,Free, - All Extended Uses,2019-05-12,"['OBJ ', '3D Studio', 'FBX ']","['3D Model', 'interior design', 'fixtures', 'lighting', 'lamp', 'table lamp']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/interior-design', 'https://www.turbosquid.com/3d-model/fixtures', 'https://www.turbosquid.com/3d-model/lighting', 'https://www.turbosquid.com/3d-model/lamp', 'https://www.turbosquid.com/3d-model/table-lamp']","['living', 'amp', 'table-lamp', 'tablelamp', 'furniture', 'interior', 'table', 'home', 'light', 'lighting', 'design']","['https://www.turbosquid.com/Search/3D-Models/living', 'https://www.turbosquid.com/Search/3D-Models/amp', 'https://www.turbosquid.com/Search/3D-Models/table-lamp', 'https://www.turbosquid.com/Search/3D-Models/tablelamp', 'https://www.turbosquid.com/Search/3D-Models/furniture', 'https://www.turbosquid.com/Search/3D-Models/interior', 'https://www.turbosquid.com/Search/3D-Models/table', 'https://www.turbosquid.com/Search/3D-Models/home', 'https://www.turbosquid.com/Search/3D-Models/light', 'https://www.turbosquid.com/Search/3D-Models/lighting', 'https://www.turbosquid.com/Search/3D-Models/design']"
Medieval chest ,"Medieval chest all texture 2048x2048 (basecolor, metallic ,roughness, AO, normal) game ready model. Can use this for exterior and interior scene",Young_Wizard,Free, - All Extended Uses,2019-05-11,"['FBX ', 'OBJ ', 'Other ']","['3D Model', 'furnishings', 'chest', 'wooden chest']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/chest', 'https://www.turbosquid.com/3d-model/wooden-chest']","['chest', 'crate', 'storage', 'medieval', 'box', 'lowpoly']","['https://www.turbosquid.com/Search/3D-Models/chest', 'https://www.turbosquid.com/Search/3D-Models/crate', 'https://www.turbosquid.com/Search/3D-Models/storage', 'https://www.turbosquid.com/Search/3D-Models/medieval', 'https://www.turbosquid.com/Search/3D-Models/box', 'https://www.turbosquid.com/Search/3D-Models/lowpoly']"
Optical puzzle ,"The model needs to be turned at a certain angle********************************* Hope you like it! Also check out my other models, just click on my user name to see complete gallery.",3d_new,Free, - All Extended Uses,2019-05-11,"['IGES 5', '3\n', 'FBX 2009', 'STL 80']","['3D Model', 'toys and games', 'games', 'puzzle', 'puzzle cube']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/toys-and-games', 'https://www.turbosquid.com/3d-model/games', 'https://www.turbosquid.com/3d-model/puzzle', 'https://www.turbosquid.com/3d-model/puzzle-cube']","['impossible', 'cuboid', 'visual', 'optical', 'illusion', '3D', 'trick', 'puzzle', 'conundrum', 'jigsaw', 'riddle']","['https://www.turbosquid.com/Search/3D-Models/impossible', 'https://www.turbosquid.com/Search/3D-Models/cuboid', 'https://www.turbosquid.com/Search/3D-Models/visual', 'https://www.turbosquid.com/Search/3D-Models/optical', 'https://www.turbosquid.com/Search/3D-Models/illusion', 'https://www.turbosquid.com/Search/3D-Models/3d', 'https://www.turbosquid.com/Search/3D-Models/trick', 'https://www.turbosquid.com/Search/3D-Models/puzzle', 'https://www.turbosquid.com/Search/3D-Models/conundrum', 'https://www.turbosquid.com/Search/3D-Models/jigsaw', 'https://www.turbosquid.com/Search/3D-Models/riddle']"
Sofa ,Cadillac Sofa Rugiano,aya2299,Free, - Editorial Uses AllowedExtended Uses May Need Clearances,2019-05-11,['Other 2015'],"['3D Model', 'furnishings', 'seating', 'sofa']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/furnishings', 'https://www.turbosquid.com/3d-model/seating', 'https://www.turbosquid.com/3d-model/sofa']","['Sofa', 'livivg']","['https://www.turbosquid.com/Search/3D-Models/sofa', 'https://www.turbosquid.com/Search/3D-Models/livivg']"
Game container ,"Game ContainerContainer Free. Hi friends, I share the free requisite for the game environment, I hope you will be pleased to receive a free model! And so what is in the archives.1) HighPoly model for baking2) LowPoly model for baking3) LowPoly model for texturing4) Game LowPoly model with real size",SkilHardRU,Free, - All Extended Uses,2019-05-11,"['FBX 16', 'OBJ 16', '3D Studio', 'Project png']","['3D Model', 'vehicles', 'vehicle parts', 'spacecraft parts', 'sci fi container']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/vehicle', 'https://www.turbosquid.com/3d-model/vehicle-parts', 'https://www.turbosquid.com/3d-model/spacecraft-parts', 'https://www.turbosquid.com/3d-model/sci-fi-container']","['Sci-fi', 'props', 'crate', 'box', 'military', 'halway', 'panel', 'free', 'industrial', 'scifi', 'game', 'games', 'container', 'kargo', 'cargo']","['https://www.turbosquid.com/Search/3D-Models/sci-fi', 'https://www.turbosquid.com/Search/3D-Models/props', 'https://www.turbosquid.com/Search/3D-Models/crate', 'https://www.turbosquid.com/Search/3D-Models/box', 'https://www.turbosquid.com/Search/3D-Models/military', 'https://www.turbosquid.com/Search/3D-Models/halway', 'https://www.turbosquid.com/Search/3D-Models/panel', 'https://www.turbosquid.com/Search/3D-Models/free', 'https://www.turbosquid.com/Search/3D-Models/industrial', 'https://www.turbosquid.com/Search/3D-Models/scifi', 'https://www.turbosquid.com/Search/3D-Models/game', 'https://www.turbosquid.com/Search/3D-Models/games', 'https://www.turbosquid.com/Search/3D-Models/container', 'https://www.turbosquid.com/Search/3D-Models/kargo', 'https://www.turbosquid.com/Search/3D-Models/cargo']"
City bryzeziny poland,Accurate part of city in lodz Piotkowska streetMasses of enviroment,ymcmbennie,Free, - All Extended Uses,2019-05-10,Unknown,"['3D Model', 'architecture', 'urban design', 'city']","['https://www.turbosquid.com/Search/3d-models', 'https://www.turbosquid.com/3d-model/architecture', 'https://www.turbosquid.com/3d-model/urban-design', 'https://www.turbosquid.com/3d-model/city']",['#architecture'],['https://www.turbosquid.com/Search/3D-Models/%23architecture']
